receiver,R,Pbar,best_G,T_fixed_at_best_gain,T_random_at_best_gain,max_gain_abs,max_gain_pct,E1,E2,E12
OD,0.2,2.0,1.8333333333333333,0.36666666666666664,0.3666666666666668,1.6653345369377348e-16,4.541821464375641e-14,0.1486983549970351,0.15975395538644724,0.17080955577585938
SUD,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.1486983549970351,0.15975395538644724,0.17080955577585938
SIC,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.1486983549970351,0.15975395538644724,0.17080955577585938
OD,0.4,2.0,1.8333333333333333,0.7333333333333333,0.7333333333333336,3.3306690738754696e-16,4.541821464375641e-14,0.3195079107728942,0.37055056329612407,0.42159321581935394
SUD,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.3195079107728942,0.37055056329612407,0.42159321581935394
SIC,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.3195079107728942,0.37055056329612407,0.42159321581935394
OD,0.6,2.0,1.8333333333333333,1.0999999999999999,1.1000000000000003,4.440892098500626e-16,4.03717463500057e-14,0.515716566510398,0.6486983549970349,0.7816801434836718
SUD,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.515716566510398,0.6486983549970349,0.7816801434836718
SIC,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.515716566510398,0.6486983549970349,0.7816801434836718
OD,0.8,2.0,1.8333333333333333,1.4666666666666666,1.4666666666666672,6.661338147750939e-16,4.541821464375641e-14,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.8,2.0,2.0,0.0,0.5324800000000001,0.5324800000000001,0.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SIC,0.8,2.0,2.0,0.0,0.7987200000000001,0.7987200000000001,0.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,1.0,2.0,1.8333333333333333,1.833333333333333,1.833333333333334,8.881784197001252e-16,4.844609562000684e-14,1.0,1.5,2.0
SUD,1.0,2.0,2.0,0.0,0.6656000000000001,0.6656000000000001,0.0,1.0,1.5,2.0
SIC,1.0,2.0,2.0,0.0,0.9984000000000001,0.9984000000000001,0.0,1.0,1.5,2.0
