receiver,G,R,Pbar,T_fixed,T_random,gain_abs,gain_pct,pi0,pi1,pi2,pi12,fixed_pi0,fixed_power
OD,1.4,0.8,0.5,0.0,0.5376000000000001,0.5376000000000001,0.0,0.52,0.0,0.44,0.04,0.0,0.5
SUD,1.4,0.8,0.5,0.0,0.4227328,0.4227328,0.0,0.43999999999999995,0.44,0.0,0.12,0.0,0.5
SIC,1.4,0.8,0.5,0.0,0.4707584,0.4707584,0.0,0.48,0.32,0.0,0.2,0.0,0.5
OD,1.4,0.8,1.0,0.3360000000000001,1.0752000000000004,0.7392000000000003,220.00000000000003,0.039999999999999925,0.0,0.92,0.04,0.0,1.0
SUD,1.4,0.8,1.0,0.3360000000000001,0.5332992,0.1972991999999999,58.719999999999956,0.040000000000000036,0.48,0.0,0.48,0.0,1.0
SIC,1.4,0.8,1.0,0.3360000000000001,0.7223552000000001,0.3863552,114.98666666666664,0.0,0.56,0.0,0.44,0.0,1.0
OD,1.4,0.8,2.0,1.1199999999999999,1.1200000000000003,4.440892098500626e-16,3.965082230804131e-14,0.0,0.0,0.56,0.44,0.0,2.0
SUD,1.4,0.8,2.0,0.3360000000000001,0.5332992,0.1972991999999999,58.719999999999956,0.040000000000000036,0.48,0.0,0.48,0.0,2.0
SIC,1.4,0.8,2.0,0.3360000000000001,0.7273728,0.39137279999999997,116.47999999999996,0.0,0.48,0.0,0.52,0.0,2.0
OD,1.4,0.8,4.0,1.1199999999999999,1.1200000000000003,4.440892098500626e-16,3.965082230804131e-14,0.0,0.0,0.56,0.44,0.0,4.0
SUD,1.4,0.8,4.0,1.1199999999999999,0.5332992,-0.5867007999999999,-52.384,0.040000000000000036,0.48,0.0,0.48,0.0,4.0
SIC,1.4,0.8,4.0,1.1199999999999999,0.7273728,-0.39262719999999984,-35.05599999999999,0.0,0.48,0.0,0.52,0.0,4.0
OD,1.4,0.8,8.0,1.1199999999999999,1.1200000000000003,4.440892098500626e-16,3.965082230804131e-14,0.0,0.0,0.56,0.44,0.0,8.0
SUD,1.4,0.8,8.0,1.1199999999999999,0.5332992,-0.5867007999999999,-52.384,0.040000000000000036,0.48,0.0,0.48,0.0,8.0
SIC,1.4,0.8,8.0,1.1199999999999999,0.7273728,-0.39262719999999984,-35.05599999999999,0.0,0.48,0.0,0.52,0.0,8.0
