receiver,G,R,Pbar,num_nonzero_levels,throughput,pi0,avg_power,power_support
OD,1.4,0.8,2.0,1,1.1199999999999999,0.0,2.0,2
OD,1.4,0.8,2.0,2,1.1199999999999999,0.0,1.2903320064285477,0.741101 1.29033
OD,1.4,0.8,2.0,3,1.12,0.0,1.1392935144735654,0.741101 1.01572 1.29033
OD,1.4,0.8,2.0,4,1.12,0.0,1.1896396784585597,0.741101 0.924178 1.10726 1.29033
OD,1.4,0.8,2.0,5,1.1200000000000003,0.0,1.1530242864694729,0.741101 0.878409 1.01572 1.15302 1.29033
SUD,1.4,0.8,2.0,1,0.3360000000000001,0.0,2.0,2
SUD,1.4,0.8,2.0,2,0.5328400000000001,0.050000000000000044,0.9786615101807856,0.741101 1.29033
SUD,1.4,0.8,2.0,3,0.5328400000000001,0.050000000000000044,0.9786615101807856,0.741101 1.01572 1.29033
SUD,1.4,0.8,2.0,4,0.5328400000000001,0.050000000000000044,0.9786615101807856,0.741101 0.924178 1.10726 1.29033
SUD,1.4,0.8,2.0,5,0.5328400000000001,0.050000000000000044,0.9786615101807856,0.741101 0.878409 1.01572 1.15302 1.29033
SIC,1.4,0.8,2.0,1,0.3360000000000001,0.0,2.0,2
SIC,1.4,0.8,2.0,2,0.7280000000000001,0.0,1.015716566510398,0.741101 1.29033
SIC,1.4,0.8,2.0,3,0.7280000000000001,0.0,1.015716566510398,0.741101 1.01572 1.29033
SIC,1.4,0.8,2.0,4,0.7280000000000001,0.0,1.015716566510398,0.741101 0.924178 1.10726 1.29033
SIC,1.4,0.8,2.0,5,0.7280000000000001,0.0,1.015716566510398,0.741101 0.878409 1.01572 1.15302 1.29033
