receiver,G,q_arrival,R,sigma2,Pbar,exp_layers,T_four_point,T_exp_layer,exp_minus_four,best_r,four_pi0,four_pi1,four_pi2,four_pi12,four_P1,four_P2,four_P3,avg_power_four,avg_power_exp,exp_power_support,exp_probability,exp_pi0,exp_pi1,exp_pi2,exp_pi3,exp_P1,exp_P2,exp_P3,exp_P4
OD,0.0,0.0,0.8,1.0,2.0,2,0.0,0.0,0.0,1.02,1.0,0.0,0.0,0.0,0.7411011265922482,1.015716566510398,1.2903320064285477,0.0,0.0,0 0,1 0 0,1.0,0.0,0.0,,0.0,0.0,,
OD,0.0,0.0,0.8,1.0,2.0,3,0.0,0.0,0.0,1.02,1.0,0.0,0.0,0.0,0.7411011265922482,1.015716566510398,1.2903320064285477,0.0,0.0,0 0 0,1 0 0 0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
OD,0.0,0.0,0.8,1.0,2.0,4,0.0,0.0,0.0,1.02,1.0,0.0,0.0,0.0,0.7411011265922482,1.015716566510398,1.2903320064285477,0.0,0.0,0 0 0 0,1 0 0 0 0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OD,0.08333333333333333,0.041666666666666664,0.8,1.0,2.0,2,0.0666666666666667,0.0666666666666667,0.0,1.02,0.0,0.0,0.78,0.22,0.7411011265922482,1.015716566510398,1.2903320064285477,1.076131963292391,2.0000000000000004,1.990049751 2.029850746,0 0.75 0.25,0.0,0.75,0.25,,1.9900497512437814,2.029850746268657,,
OD,0.08333333333333333,0.041666666666666664,0.8,1.0,2.0,3,0.0666666666666667,0.0666666666666667,0.0,1.02,0.0,0.0,0.78,0.22,0.7411011265922482,1.015716566510398,1.2903320064285477,1.076131963292391,1.9999999999999998,1.951029168 1.990049751 2.029850746,0 0 0.75 0.25,0.0,0.0,0.75,0.25,1.9510291678860596,1.990049751243781,2.0298507462686564,
OD,0.08333333333333333,0.041666666666666664,0.8,1.0,2.0,4,0.0666666666666667,0.06666666666666674,4.163336342344337e-17,1.02,0.0,0.0,0.78,0.22,0.7411011265922482,1.015716566510398,1.2903320064285477,1.076131963292391,2.0000000000000004,1.968114188 2.007476472 2.047626002 2.088578522,0 0.55 0.25 0.05 0.15,0.0,0.55,0.25,0.05,1.9681141884107203,2.0074764721789347,2.0476260016225134,2.088578521654964
OD,0.16666666666666666,0.08333333333333333,0.8,1.0,2.0,2,0.13333333333333336,0.13333333333333336,0.0,1.02,0.0,0.0,0.12,0.88,0.7411011265922482,1.015716566510398,1.2903320064285477,1.2573781536383697,2.0,1.972386588 2.01183432,0 0.3 0.7,0.0,0.3,0.7,,1.9723865877712032,2.0118343195266273,,
OD,0.16666666666666666,0.08333333333333333,0.8,1.0,2.0,3,0.13333333333333336,0.1333333333333334,2.7755575615628914e-17,1.02,0.0,0.0,0.12,0.88,0.7411011265922482,1.015716566510398,1.2903320064285477,1.2573781536383697,2.0,1.941332919 1.980159578 2.019762769,0 0.05 0.4 0.55,0.0,0.05,0.4,0.55,1.9413329191823103,1.9801595775659566,2.0197627691172757,
OD,0.16666666666666666,0.08333333333333333,0.8,1.0,2.0,4,0.13333333333333336,0.1333333333333334,2.7755575615628914e-17,1.02,0.0,0.0,0.12,0.88,0.7411011265922482,1.015716566510398,1.2903320064285477,1.2573781536383697,2.0,1.903267568 1.941332919 1.980159578 2.019762769,0 0 0.05 0.4 0.55,0.0,0.0,0.05,0.4,1.9032675678257942,1.94133291918231,1.9801595775659562,2.0197627691172757
OD,0.25,0.125,0.8,1.0,2.0,2,0.20000000000000007,0.20000000000000007,0.0,1.02,0.0,0.0,0.2,0.8,0.7411011265922482,1.015716566510398,1.2903320064285477,1.235408918444918,2.0,1.968503937 2.007874016,0 0.2 0.8,0.0,0.2,0.8,,1.968503937007874,2.0078740157480315,,
