S,receiver,baseline_type,policy_name,method,T_packets,T_rate,T_over_G,T_over_Gtx,success_ratio,G,G_tx,pi0,q_tx,avg_power,failed_group,pi_full,pi_pos,beta,P,K0,K_groups,group_success_users,group_success_flags,init_type,init_beta_mode,init_power_mode,local_gain,accepted_steps,best_r,best_q_tx,run_index
8,global_od,single_power,single_power_baseline_q1,best_q_tx_grid,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1.0]",0.00000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0]","[true, true, true, true, true, true, true, true]",single_power,single_highest_layer,embedded_linear,0.00000000,0,,1.00000000,4
8,global_od,structured_uniform_exp,uniform_beta_exp_power_q1_r1.05,best_q_tx_r_grid,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.8377745090214492, 0.8796632344725217, 0.9236463961961479, 0.9698287160059553, 1.018320151806253, 1.0692361593965658, 1.1226979673663942, 1.178832865734714]",0.00000000,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]","[true, true, true, true, true, true, true, true]",structured,uniform,exponential,0.00000000,0,1.05000000,1.00000000,32
8,global_od,structured_all,init_gaussian_exponential_q1,best_structured_initializer,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[0.8427645225902033, 0.8849027487197135, 0.9291478861556992, 0.9756052804634842, 1.0243855444866585, 1.0756048217109915, 1.1293850627965412, 1.1858543159363681]",0.00000000,"[2.179992414996446e-07, 7.180271777634049e-07, 0.19267346452927328, 99.80732559944431, 99.80732559944431, 0.19267346452927328, 7.180271777634049e-07, 2.179992414996446e-07]","[2.179992414996446e-07, 7.180271777634049e-07, 0.19267346452927328, 99.80732559944431, 99.80732559944431, 0.19267346452927328, 7.180271777634049e-07, 2.179992414996446e-07]","[true, true, true, true, true, true, true, true]",structured,gaussian,exponential,0.00000000,0,1.05000000,1.00000000,364
8,global_od,random_dirichlet,random_dirichlet_random_increments_q0.91,best_random_dirichlet,182.02228539,45.50557135,0.91011143,1.00000000,1.00000000,200.00000000,182.02228539,0.08988857,0.91011143,1.00000000,,"[0.08988857305690756, 0.07734659134570616, 0.23126665888739686, 0.2894705797796828, 0.004803813411446352, 0.039014958159072625, 0.17948566716292974, 0.04857181200648558, 0.04015134619037228]","[0.07734659134570616, 0.23126665888739686, 0.2894705797796828, 0.004803813411446352, 0.039014958159072625, 0.17948566716292974, 0.04857181200648558, 0.04015134619037228]","[0.08498584794776178, 0.25410807077126996, 0.31806059259355157, 0.005278269527481414, 0.04286833128787004, 0.1972128487231406, 0.05336908269532438, 0.044116956453600115]","[0.4427336201014842, 0.48376185705758085, 0.8552994766225857, 0.9161114592544961, 1.6695708694661902, 1.9421099265972637, 2.0105244902283292, 2.254451440724096]",17.97771461,"[15.469318269141233, 46.253331777479374, 57.89411595593656, 0.9607626822892704, 7.802991631814525, 35.897133432585946, 9.714362401297116, 8.030269238074455]","[15.469318269141233, 46.253331777479374, 57.89411595593656, 0.9607626822892704, 7.802991631814525, 35.897133432585946, 9.714362401297116, 8.030269238074455]","[true, true, true, true, true, true, true, true]",random,dirichlet,random_increments,0.00000000,0,,0.91011143,28
8,global_od,local_search,init_gaussian_exponential_q1,best_local_search,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[0.8427645225902033, 0.8849027487197135, 0.9291478861556992, 0.9756052804634842, 1.0243855444866585, 1.0756048217109915, 1.1293850627965412, 1.1858543159363681]",0.00000000,"[2.179992414996446e-07, 7.180271777634049e-07, 0.19267346452927328, 99.80732559944431, 99.80732559944431, 0.19267346452927328, 7.180271777634049e-07, 2.179992414996446e-07]","[2.179992414996446e-07, 7.180271777634049e-07, 0.19267346452927328, 99.80732559944431, 99.80732559944431, 0.19267346452927328, 7.180271777634049e-07, 2.179992414996446e-07]","[true, true, true, true, true, true, true, true]",structured,gaussian,exponential,0.00000000,0,,1.00000000,364
8,group_od,single_power,single_power_baseline_q1,best_q_tx_grid,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1.0]",0.00000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0]","[true, true, true, true, true, true, true, true]",single_power,single_highest_layer,embedded_linear,0.00000000,0,,1.00000000,4
8,group_od,structured_uniform_exp,uniform_beta_exp_power_q1_r2,best_q_tx_r_grid,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.03137254901960784, 0.06274509803921569, 0.12549019607843137, 0.25098039215686274, 0.5019607843137255, 1.003921568627451, 2.007843137254902, 4.015686274509804]",0.00000000,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]","[true, true, true, true, true, true, true, true]",structured,uniform,exponential,0.00000000,0,2.00000000,1.00000000,37
8,group_od,structured_all,init_uniform_exponential_q1,best_structured_initializer,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.03137254901960784, 0.06274509803921569, 0.12549019607843137, 0.25098039215686274, 0.5019607843137255, 1.003921568627451, 2.007843137254902, 4.015686274509804]",0.00000000,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]","[true, true, true, true, true, true, true, true]",structured,uniform,exponential,0.00000000,0,2.00000000,1.00000000,29
8,group_od,random_dirichlet,random_dirichlet_random_increments_q0.659,best_random_dirichlet,74.87928196,18.71982049,0.37439641,0.56832582,0.56832582,200.00000000,131.75414485,0.34122928,0.65877072,1.00000000,3,"[0.3412292757603437, 0.037045971120173694, 0.2460876943958481, 0.001240648919726021, 0.012102098861399587, 0.047716446990364175, 0.07934259579992056, 0.07070152942431786, 0.16453373872790647]","[0.037045971120173694, 0.2460876943958481, 0.001240648919726021, 0.012102098861399587, 0.047716446990364175, 0.07934259579992056, 0.07070152942431786, 0.16453373872790647]","[0.05623499915381274, 0.3735559054781599, 0.0018832787707103403, 0.018370729627318595, 0.07243255541666305, 0.12044037914935674, 0.10732342349596746, 0.24975872890801104]","[0.11877679055692629, 0.21889858181201727, 0.3463942024162777, 1.0102793304992523, 1.2807691664930403, 1.6334857290855693, 3.0643140951154293, 3.1708077388811495]",68.24585515,"[7.409194224034739, 49.217538879169624, 0.2481297839452042, 2.4204197722799177, 9.543289398072835, 15.868519159984112, 14.140305884863572, 32.90674774558129]","[0.0, 0.0, 0.0, 2.4204197722799177, 9.543289398072835, 15.868519159984112, 14.140305884863572, 32.90674774558129]","[false, false, false, true, true, true, true, true]",random,dirichlet,random_increments,0.00000000,0,,0.65877072,0
8,group_od,local_search,init_exp_decreasing_exponential_q1,best_local_search,200.00000000,50.00000000,1.00000000,1.00000000,1.00000000,200.00000000,200.00000000,0.00000000,1.00000000,1.00000000,,"[0.0, 0.18855375824835924, 0.14853860167482374, 0.1210293744914872, 0.11096606545059103, 0.13397106411530285, 0.08397306485900752, 0.1105281179766656, 0.10243995318376295]","[0.18855375824835924, 0.14853860167482374, 0.1210293744914872, 0.11096606545059103, 0.13397106411530285, 0.08397306485900752, 0.1105281179766656, 0.10243995318376295]","[0.18855375824835918, 0.14853860167482372, 0.12102937449148717, 0.110966065450591, 0.13397106411530282, 0.0839730648590075, 0.11052811797666558, 0.10243995318376292]","[0.08950804880026184, 0.14587045330200624, 0.2769981559528091, 0.5095939059346619, 0.9208622084541868, 1.348625951521744, 2.3151706370095515, 3.698502137399903]",0.00000000,"[37.71075164967185, 29.707720334964748, 24.205874898297438, 22.193213090118206, 26.79421282306057, 16.794612971801502, 22.10562359533312, 20.48799063675259]","[37.71075164967185, 29.707720334964748, 24.205874898297438, 22.193213090118206, 26.79421282306057, 16.794612971801502, 22.10562359533312, 20.48799063675259]","[true, true, true, true, true, true, true, true]",structured,exp_decreasing,exponential,155.87634049,6,,1.00000000,204
