receiver,step,best_T_packets
global_od,0,200.0
global_od,1,200.0
global_od,2,200.0
global_od,3,200.0
global_od,4,200.0
global_od,5,200.0
global_od,6,200.0
global_od,7,200.0
global_od,8,200.0
global_od,9,200.0
global_od,10,200.0
global_od,11,200.0
global_od,12,200.0
global_od,13,200.0
global_od,14,200.0
global_od,15,200.0
global_od,16,200.0
global_od,17,200.0
global_od,18,200.0
global_od,19,200.0
global_od,20,200.0
global_od,21,200.0
global_od,22,200.0
global_od,23,200.0
global_od,24,200.0
global_od,25,200.0
global_od,26,200.0
global_od,27,200.0
global_od,28,200.0
global_od,29,200.0
global_od,30,200.0
global_od,31,200.0
global_od,32,200.0
global_od,33,200.0
global_od,34,200.0
global_od,35,200.0
global_od,36,200.0
global_od,37,200.0
global_od,38,200.0
global_od,39,200.0
global_od,40,200.0
global_od,41,200.0
global_od,42,200.0
global_od,43,200.0
global_od,44,200.0
global_od,45,200.0
global_od,46,200.0
global_od,47,200.0
global_od,48,200.0
global_od,49,200.0
global_od,50,200.0
global_od,51,200.0
global_od,52,200.0
global_od,53,200.0
global_od,54,200.0
global_od,55,200.0
global_od,56,200.0
global_od,57,200.0
global_od,58,200.0
global_od,59,200.0
global_od,60,200.0
global_od,61,200.0
global_od,62,200.0
global_od,63,200.0
global_od,64,200.0
global_od,65,200.0
global_od,66,200.0
global_od,67,200.0
global_od,68,200.0
global_od,69,200.0
global_od,70,200.0
global_od,71,200.0
global_od,72,200.0
global_od,73,200.0
global_od,74,200.0
global_od,75,200.0
global_od,76,200.0
global_od,77,200.0
global_od,78,200.0
global_od,79,200.0
group_lmmse,0,160.0
group_lmmse,1,160.0
group_lmmse,2,160.0
group_lmmse,3,160.0
group_lmmse,4,164.65568762183116
group_lmmse,5,164.65568762183116
group_lmmse,6,164.65568762183116
group_lmmse,7,164.65568762183116
group_lmmse,8,164.65568762183116
group_lmmse,9,164.65568762183116
group_lmmse,10,168.53429564360482
group_lmmse,11,168.53429564360482
group_lmmse,12,168.53429564360482
group_lmmse,13,168.53429564360482
group_lmmse,14,168.53429564360482
group_lmmse,15,168.87695337628173
group_lmmse,16,168.87695337628173
group_lmmse,17,168.87695337628173
group_lmmse,18,168.87695337628173
group_lmmse,19,168.87695337628173
group_lmmse,20,168.87695337628173
group_lmmse,21,168.87695337628173
group_lmmse,22,168.87695337628173
group_lmmse,23,168.87695337628173
group_lmmse,24,168.87695337628173
group_lmmse,25,168.87695337628173
group_lmmse,26,168.87695337628173
group_lmmse,27,168.87695337628173
group_lmmse,28,168.87695337628173
group_lmmse,29,168.87695337628173
group_lmmse,30,168.87695337628173
group_lmmse,31,168.87695337628173
group_lmmse,32,168.87695337628173
group_lmmse,33,168.87695337628173
group_lmmse,34,168.87695337628173
group_lmmse,35,168.87695337628173
group_lmmse,36,168.87695337628173
group_lmmse,37,168.87695337628173
group_lmmse,38,168.87695337628173
group_lmmse,39,168.87695337628173
group_lmmse,40,168.87695337628173
group_lmmse,41,168.87695337628173
group_lmmse,42,168.87695337628173
group_lmmse,43,168.87695337628173
group_lmmse,44,168.87695337628173
group_lmmse,45,168.87695337628173
group_lmmse,46,168.87695337628173
group_lmmse,47,168.87695337628173
group_lmmse,48,168.87695337628173
group_lmmse,49,168.87695337628173
group_lmmse,50,168.87695337628173
group_lmmse,51,168.87695337628173
group_lmmse,52,168.87695337628173
group_lmmse,53,168.87695337628173
group_lmmse,54,168.87695337628173
group_lmmse,55,168.87695337628173
group_lmmse,56,168.87695337628173
group_lmmse,57,168.87695337628173
group_lmmse,58,168.87695337628173
group_lmmse,59,168.87695337628173
group_lmmse,60,168.87695337628173
group_lmmse,61,168.87695337628173
group_lmmse,62,168.87695337628173
group_lmmse,63,168.87695337628173
group_lmmse,64,168.87695337628173
group_lmmse,65,171.1360296024729
group_lmmse,66,171.1360296024729
group_lmmse,67,171.1360296024729
group_lmmse,68,171.1360296024729
group_lmmse,69,171.1360296024729
group_lmmse,70,171.1360296024729
group_lmmse,71,171.1360296024729
group_lmmse,72,171.1360296024729
group_lmmse,73,171.1360296024729
group_lmmse,74,171.1360296024729
group_lmmse,75,171.1360296024729
group_lmmse,76,171.1360296024729
group_lmmse,77,171.1360296024729
group_lmmse,78,171.1360296024729
group_lmmse,79,171.1360296024729
group_mf,0,140.0
group_mf,1,140.0
group_mf,2,140.0
group_mf,3,140.0
group_mf,4,145.23034655704558
group_mf,5,145.23034655704558
group_mf,6,147.10549221142085
group_mf,7,147.10549221142085
group_mf,8,147.10549221142085
group_mf,9,147.10549221142085
group_mf,10,147.10549221142085
group_mf,11,147.10549221142085
group_mf,12,147.10549221142085
group_mf,13,147.10549221142085
group_mf,14,147.10549221142085
group_mf,15,147.10549221142085
group_mf,16,147.10549221142085
group_mf,17,149.2371670029719
group_mf,18,149.2371670029719
group_mf,19,149.2371670029719
group_mf,20,149.2371670029719
group_mf,21,149.2371670029719
group_mf,22,149.2371670029719
group_mf,23,149.2371670029719
group_mf,24,149.2371670029719
group_mf,25,149.2371670029719
group_mf,26,149.2371670029719
group_mf,27,149.2371670029719
group_mf,28,150.9632312421603
group_mf,29,150.9632312421603
group_mf,30,150.9632312421603
group_mf,31,150.9632312421603
group_mf,32,150.9632312421603
group_mf,33,150.9632312421603
group_mf,34,150.9632312421603
group_mf,35,150.9632312421603
group_mf,36,150.9632312421603
group_mf,37,150.9632312421603
group_mf,38,150.9632312421603
group_mf,39,150.9632312421603
group_mf,40,150.9632312421603
group_mf,41,150.9632312421603
group_mf,42,150.9632312421603
group_mf,43,150.9632312421603
group_mf,44,150.9632312421603
group_mf,45,150.9632312421603
group_mf,46,150.9632312421603
group_mf,47,150.9632312421603
group_mf,48,150.9632312421603
group_mf,49,150.9632312421603
group_mf,50,150.9632312421603
group_mf,51,150.9632312421603
group_mf,52,150.9632312421603
group_mf,53,150.9632312421603
group_mf,54,150.9632312421603
group_mf,55,150.9632312421603
group_mf,56,150.9632312421603
group_mf,57,150.9632312421603
group_mf,58,150.9632312421603
group_mf,59,150.9632312421603
group_mf,60,150.9632312421603
group_mf,61,150.9632312421603
group_mf,62,150.9632312421603
group_mf,63,150.9632312421603
group_mf,64,150.9632312421603
group_mf,65,150.9632312421603
group_mf,66,150.9632312421603
group_mf,67,150.9632312421603
group_mf,68,150.9632312421603
group_mf,69,150.9632312421603
group_mf,70,150.9632312421603
group_mf,71,150.9632312421603
group_mf,72,150.9632312421603
group_mf,73,150.9632312421603
group_mf,74,150.9632312421603
group_mf,75,150.9632312421603
group_mf,76,150.9632312421603
group_mf,77,150.9632312421603
group_mf,78,150.9632312421603
group_mf,79,150.9632312421603
group_od,0,200.0
group_od,1,200.0
group_od,2,200.0
group_od,3,200.0
group_od,4,200.0
group_od,5,200.0
group_od,6,200.0
group_od,7,200.0
group_od,8,200.0
group_od,9,200.0
group_od,10,200.0
group_od,11,200.0
group_od,12,200.0
group_od,13,200.0
group_od,14,200.0
group_od,15,200.0
group_od,16,200.0
group_od,17,200.0
group_od,18,200.0
group_od,19,200.0
group_od,20,200.0
group_od,21,200.0
group_od,22,200.0
group_od,23,200.0
group_od,24,200.0
group_od,25,200.0
group_od,26,200.0
group_od,27,200.0
group_od,28,200.0
group_od,29,200.0
group_od,30,200.0
group_od,31,200.0
group_od,32,200.0
group_od,33,200.0
group_od,34,200.0
group_od,35,200.0
group_od,36,200.0
group_od,37,200.0
group_od,38,200.0
group_od,39,200.0
group_od,40,200.0
group_od,41,200.0
group_od,42,200.0
group_od,43,200.0
group_od,44,200.0
group_od,45,200.0
group_od,46,200.0
group_od,47,200.0
group_od,48,200.0
group_od,49,200.0
group_od,50,200.0
group_od,51,200.0
group_od,52,200.0
group_od,53,200.0
group_od,54,200.0
group_od,55,200.0
group_od,56,200.0
group_od,57,200.0
group_od,58,200.0
group_od,59,200.0
group_od,60,200.0
group_od,61,200.0
group_od,62,200.0
group_od,63,200.0
group_od,64,200.0
group_od,65,200.0
group_od,66,200.0
group_od,67,200.0
group_od,68,200.0
group_od,69,200.0
group_od,70,200.0
group_od,71,200.0
group_od,72,200.0
group_od,73,200.0
group_od,74,200.0
group_od,75,200.0
group_od,76,200.0
group_od,77,200.0
group_od,78,200.0
group_od,79,200.0
