receiver,baseline_type,policy_name,G,S,N,R,Pbar,sigma2,num_mc,seed,deterministic_T,deterministic_T_over_G,mc_mean_T,mc_std_T,mc_p05_T,mc_p50_T,mc_p95_T,mc_mean_T_over_G,mc_mean_T_over_Gtx,mc_mean_G_tx,relative_gap,pi_full,pi0,q_tx,beta,P,avg_power
global_od,single_power,single_power_baseline_q1,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,199.79390000,13.81049948,177.00000000,200.00000000,222.00000000,0.99896950,1.00000000,199.79390000,-0.00103050,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.00000000,1.00000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1.0]",1.00000000
global_od,structured_uniform_exp,uniform_beta_exp_power_q1_r1.05,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,199.64160000,14.05053348,177.00000000,199.00000000,223.00000000,0.99820800,1.00000000,199.64160000,-0.00179200,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",0.00000000,1.00000000,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.8377745090214492, 0.8796632344725217, 0.9236463961961479, 0.9698287160059553, 1.018320151806253, 1.0692361593965658, 1.1226979673663942, 1.178832865734714]",1.00000000
global_od,structured_best,init_gaussian_exponential_q1,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,199.95830000,14.27199110,177.00000000,200.00000000,224.00000000,0.99979150,1.00000000,199.95830000,-0.00020850,"[0.0, 1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]",0.00000000,1.00000000,"[1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[0.8427645225902033, 0.8849027487197135, 0.9291478861556992, 0.9756052804634842, 1.0243855444866585, 1.0756048217109915, 1.1293850627965412, 1.1858543159363681]",1.00000000
global_od,random_dirichlet_best,random_dirichlet_random_increments_q0.91,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,182.02228539,0.91011143,182.05810000,13.33330800,160.00000000,182.00000000,205.00000000,0.91029050,1.00000000,182.05810000,0.00019676,"[0.08988857305690756, 0.07734659134570616, 0.23126665888739686, 0.2894705797796828, 0.004803813411446352, 0.039014958159072625, 0.17948566716292974, 0.04857181200648558, 0.04015134619037228]",0.08988857,0.91011143,"[0.08498584794776178, 0.25410807077126996, 0.31806059259355157, 0.005278269527481414, 0.04286833128787004, 0.1972128487231406, 0.05336908269532438, 0.044116956453600115]","[0.4427336201014842, 0.48376185705758085, 0.8552994766225857, 0.9161114592544961, 1.6695708694661902, 1.9421099265972637, 2.0105244902283292, 2.254451440724096]",1.00000000
global_od,local_search,init_gaussian_exponential_q1,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,199.95830000,14.27199110,177.00000000,200.00000000,224.00000000,0.99979150,1.00000000,199.95830000,-0.00020850,"[0.0, 1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]",0.00000000,1.00000000,"[1.089996207498223e-09, 3.5901358888170245e-09, 0.0009633673226463665, 0.49903662799722154, 0.49903662799722154, 0.0009633673226463665, 3.5901358888170245e-09, 1.089996207498223e-09]","[0.8427645225902033, 0.8849027487197135, 0.9291478861556992, 0.9756052804634842, 1.0243855444866585, 1.0756048217109915, 1.1293850627965412, 1.1858543159363681]",1.00000000
group_od,single_power,single_power_baseline_q1,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,199.79390000,13.81049948,177.00000000,200.00000000,222.00000000,0.99896950,1.00000000,199.79390000,-0.00103050,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.00000000,1.00000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1.0]",1.00000000
group_od,structured_uniform_exp,uniform_beta_exp_power_q1_r2,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,192.87530000,25.71885487,159.00000000,196.00000000,220.00000000,0.96437650,0.96894660,199.64160000,-0.03562350,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",0.00000000,1.00000000,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.03137254901960784, 0.06274509803921569, 0.12549019607843137, 0.25098039215686274, 0.5019607843137255, 1.003921568627451, 2.007843137254902, 4.015686274509804]",1.00000000
group_od,structured_best,init_uniform_exponential_q1,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,192.87530000,25.71885487,159.00000000,196.00000000,220.00000000,0.96437650,0.96894660,199.64160000,-0.03562350,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",0.00000000,1.00000000,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.03137254901960784, 0.06274509803921569, 0.12549019607843137, 0.25098039215686274, 0.5019607843137255, 1.003921568627451, 2.007843137254902, 4.015686274509804]",1.00000000
group_od,random_dirichlet_best,random_dirichlet_random_increments_q0.659,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,74.87928196,0.37439641,56.23920000,50.77486969,0.00000000,65.00000000,134.00000000,0.28119600,0.44663039,131.64920000,-0.24893511,"[0.3412292757603437, 0.037045971120173694, 0.2460876943958481, 0.001240648919726021, 0.012102098861399587, 0.047716446990364175, 0.07934259579992056, 0.07070152942431786, 0.16453373872790647]",0.34122928,0.65877072,"[0.05623499915381274, 0.3735559054781599, 0.0018832787707103403, 0.018370729627318595, 0.07243255541666305, 0.12044037914935674, 0.10732342349596746, 0.24975872890801104]","[0.11877679055692629, 0.21889858181201727, 0.3463942024162777, 1.0102793304992523, 1.2807691664930403, 1.6334857290855693, 3.0643140951154293, 3.1708077388811495]",1.00000000
group_od,local_search,init_exp_decreasing_exponential_q1,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,200.00000000,1.00000000,89.89760000,78.77425501,0.00000000,45.00000000,198.00000000,0.44948800,0.47094934,199.67790000,-0.55051200,"[0.0, 0.18855375824835924, 0.14853860167482374, 0.1210293744914872, 0.11096606545059103, 0.13397106411530285, 0.08397306485900752, 0.1105281179766656, 0.10243995318376295]",0.00000000,1.00000000,"[0.18855375824835918, 0.14853860167482372, 0.12102937449148717, 0.110966065450591, 0.13397106411530282, 0.0839730648590075, 0.11052811797666558, 0.10243995318376292]","[0.08950804880026184, 0.14587045330200624, 0.2769981559528091, 0.5095939059346619, 0.9208622084541868, 1.348625951521744, 2.3151706370095515, 3.698502137399903]",1.00000000
