iter,best_score,iter_best_score,global_best_score,mean_score,std_score,valid_particle_ratio,num_valid_particles,num_invalid_particles,best_T,best_T_over_G,best_T_over_Gtx,best_pi0,best_q_tx,best_avg_power,best_P,best_pi_full
0,0.51531500,0.51531500,0.51531500,0.15871767,0.15598881,1.00000000,30,0,103.06300000,0.51531500,0.68824484,0.22800549,0.77199451,1.00000000,"[0.037209247552178464, 0.08236192602495483, 0.16089423650015197, 0.3215597122101139, 0.6750238125571753, 1.5014035106365968, 2.7727011366726555, 5.69669586477326]","[0.22800549200264664, 0.0936015403554326, 0.09449625163633786, 0.10185473922239972, 0.1031400622961613, 0.1215368637532942, 0.09257638258778984, 0.0754464331444776, 0.08934223500146023]"
1,0.57627000,0.57627000,0.57627000,0.23785650,0.20814279,1.00000000,30,0,115.25400000,0.57627000,0.77353417,0.23840076,0.76159924,1.00000000,"[0.0352026118688028, 0.07483082139712971, 0.15564706026447722, 0.3345384985400616, 0.6333168046753935, 1.472154285868548, 2.8091647150779413, 5.322043678611754]","[0.23840075925606796, 0.10302113048897264, 0.09262860782594491, 0.1018164718563523, 0.08900718023180233, 0.09004568323322794, 0.10483142707041279, 0.09026658285749095, 0.08998215717972817]"
2,0.61920500,0.61920500,0.61920500,0.34220583,0.20983271,1.00000000,30,0,123.84100000,0.61920500,0.92918421,0.32625654,0.67374346,1.00000000,"[0.035647203015732695, 0.08201135552177131, 0.1680102937933457, 0.3362546444963855, 0.8090354177501003, 1.6673148475814366, 2.7661312382074685, 5.943059645101074]","[0.3262565412483608, 0.08446933671167203, 0.08313374516132932, 0.0807382077760532, 0.07270043577736496, 0.09162545177022577, 0.10161110139232798, 0.07526034458478653, 0.08420483557787936]"
3,0.61920500,0.61549500,0.61920500,0.34782717,0.21824707,1.00000000,30,0,123.84100000,0.61920500,0.92918421,0.32625654,0.67374346,1.00000000,"[0.035647203015732695, 0.08201135552177131, 0.1680102937933457, 0.3362546444963855, 0.8090354177501003, 1.6673148475814366, 2.7661312382074685, 5.943059645101074]","[0.3262565412483608, 0.08446933671167203, 0.08313374516132932, 0.0807382077760532, 0.07270043577736496, 0.09162545177022577, 0.10161110139232798, 0.07526034458478653, 0.08420483557787936]"
4,0.64039000,0.64039000,0.64039000,0.37427767,0.20754740,1.00000000,30,0,128.07800000,0.64039000,0.95430189,0.32362958,0.67637042,1.00000000,"[0.03635572186484951, 0.08599998708460097, 0.1703279640394053, 0.3159594011124307, 0.8623860852855318, 1.7295031497534392, 2.9154831334621276, 6.079819089794209]","[0.32362957947979154, 0.08463047767394884, 0.09264797760766051, 0.08299595751812539, 0.07801053109964426, 0.10440724251944594, 0.08806876009971279, 0.05608223444600298, 0.08952723955566774]"
5,0.64039000,0.63620000,0.64039000,0.30063350,0.23062759,1.00000000,30,0,128.07800000,0.64039000,0.95430189,0.32362958,0.67637042,1.00000000,"[0.03635572186484951, 0.08599998708460097, 0.1703279640394053, 0.3159594011124307, 0.8623860852855318, 1.7295031497534392, 2.9154831334621276, 6.079819089794209]","[0.32362957947979154, 0.08463047767394884, 0.09264797760766051, 0.08299595751812539, 0.07801053109964426, 0.10440724251944594, 0.08806876009971279, 0.05608223444600298, 0.08952723955566774]"
6,0.64039000,0.63083000,0.64039000,0.36727000,0.21070542,1.00000000,30,0,128.07800000,0.64039000,0.95430189,0.32362958,0.67637042,1.00000000,"[0.03635572186484951, 0.08599998708460097, 0.1703279640394053, 0.3159594011124307, 0.8623860852855318, 1.7295031497534392, 2.9154831334621276, 6.079819089794209]","[0.32362957947979154, 0.08463047767394884, 0.09264797760766051, 0.08299595751812539, 0.07801053109964426, 0.10440724251944594, 0.08806876009971279, 0.05608223444600298, 0.08952723955566774]"
7,0.64039000,0.63448500,0.64039000,0.39706883,0.19768015,1.00000000,30,0,128.07800000,0.64039000,0.95430189,0.32362958,0.67637042,1.00000000,"[0.03635572186484951, 0.08599998708460097, 0.1703279640394053, 0.3159594011124307, 0.8623860852855318, 1.7295031497534392, 2.9154831334621276, 6.079819089794209]","[0.32362957947979154, 0.08463047767394884, 0.09264797760766051, 0.08299595751812539, 0.07801053109964426, 0.10440724251944594, 0.08806876009971279, 0.05608223444600298, 0.08952723955566774]"
8,0.64039000,0.63550500,0.64039000,0.39141733,0.20237719,1.00000000,30,0,128.07800000,0.64039000,0.95430189,0.32362958,0.67637042,1.00000000,"[0.03635572186484951, 0.08599998708460097, 0.1703279640394053, 0.3159594011124307, 0.8623860852855318, 1.7295031497534392, 2.9154831334621276, 6.079819089794209]","[0.32362957947979154, 0.08463047767394884, 0.09264797760766051, 0.08299595751812539, 0.07801053109964426, 0.10440724251944594, 0.08806876009971279, 0.05608223444600298, 0.08952723955566774]"
9,0.64039000,0.63046000,0.64039000,0.37236800,0.21635335,1.00000000,30,0,128.07800000,0.64039000,0.95430189,0.32362958,0.67637042,1.00000000,"[0.03635572186484951, 0.08599998708460097, 0.1703279640394053, 0.3159594011124307, 0.8623860852855318, 1.7295031497534392, 2.9154831334621276, 6.079819089794209]","[0.32362957947979154, 0.08463047767394884, 0.09264797760766051, 0.08299595751812539, 0.07801053109964426, 0.10440724251944594, 0.08806876009971279, 0.05608223444600298, 0.08952723955566774]"
