scan_name,scan_value,receiver,method,G,S,N,R,Pbar,sigma2,mc_mean_T,mc_std_T,mc_p05_T,mc_p50_T,mc_p95_T,mc_mean_T_over_G,mc_mean_T_over_Gtx,mc_mean_G_tx,pi0,q_tx,avg_power,pi_full,beta,P,runtime_sec
G,50.00000000,group_lmmse,single_power,50.00000000,8,8,0.25000000,1.00000000,1.00000000,9.97710000,3.17880262,5.00000000,10.00000000,16.00000000,0.19954200,0.99990000,9.97710000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
G,50.00000000,group_lmmse,structured_uniform_exp,50.00000000,8,8,0.25000000,1.00000000,1.00000000,50.01780000,7.04416391,39.00000000,50.00000000,62.00000000,1.00035600,1.00000000,50.01780000,0.00000000,1.00000000,1.00000000,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.48487537926952173, 0.581850455123426, 0.6982205461481112, 0.8378646553777335, 1.0054375864532803, 1.206525103743936, 1.4478301244927232, 1.737396149391268]",0.00000000
G,50.00000000,group_lmmse,local_search,50.00000000,8,8,0.25000000,1.00000000,1.00000000,49.49280000,6.94260528,38.00000000,49.00000000,61.00000000,0.98985600,1.00000000,49.49280000,0.01099695,0.98900305,1.00000000,"[0.010996945462673713, 0.14079037669720532, 0.08067159952973807, 0.10775358172330612, 0.15926309128074553, 0.136983012078966, 0.12377754145504975, 0.11113009577445043, 0.12863375599786497]","[0.1423558562850644, 0.08156860503072735, 0.10895171782226216, 0.1610339731005702, 0.13850615673077893, 0.12515385153482175, 0.11236577608593852, 0.1300640634098367]","[0.05937786929840704, 0.08042464007082928, 0.16732535551759536, 0.23998951018785022, 0.5762079180647686, 0.8482525148186736, 2.506715686821989, 3.6258285426617163]",0.00000000
G,50.00000000,group_lmmse,PSO_MC,50.00000000,8,8,0.25000000,1.00000000,1.00000000,49.91200000,7.16389476,38.00000000,50.00000000,62.00000000,0.99824000,0.99901041,49.98550000,0.00004313,0.99995687,1.00000000,"[4.312797526728751e-05, 0.017978166444662786, 0.46550897650330225, 0.19131955161202574, 0.010602779747072898, 0.180945678466775, 0.011528415444700768, 0.022535367442319897, 0.09953793636387331]","[0.017978941840021793, 0.465529053828822, 0.19132780319278977, 0.010603237043217851, 0.18095348262409816, 0.011528912663360973, 0.02253633938900768, 0.09954222941868174]","[0.7197630962850742, 0.7198176641079572, 0.8912752447920609, 1.0808950913796702, 1.274857776605778, 1.6625472026514982, 1.7797372863728227, 1.8088173723403707]",102.90772990
G,100.00000000,group_lmmse,single_power,100.00000000,8,8,0.25000000,1.00000000,1.00000000,19.99490000,4.51870732,13.00000000,20.00000000,28.00000000,0.19994900,1.00000000,19.99490000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
G,100.00000000,group_lmmse,structured_uniform_exp,100.00000000,8,8,0.25000000,1.00000000,1.00000000,99.96380000,10.16871820,84.00000000,100.00000000,117.00000000,0.99963800,0.99944949,100.03030000,0.00000000,1.00000000,1.00000000,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.08144557233225413, 0.13845747296483202, 0.23537770404021444, 0.4001420968683645, 0.6802415646762197, 1.1564106599495734, 1.9658981219142748, 3.3420268072542667]",0.00000000
G,100.00000000,group_lmmse,local_search,100.00000000,8,8,0.25000000,1.00000000,1.00000000,97.98010000,9.87563956,82.00000000,98.00000000,114.00000000,0.97980100,0.99979178,98.00670000,0.01972104,0.98027896,1.00000000,"[0.019721039498805104, 0.13176667386446314, 0.10534549950033685, 0.10507719819663598, 0.1295318712552196, 0.12495664096945969, 0.1369056415655405, 0.1464780704767645, 0.10021736467277469]","[0.13441752722826342, 0.10746481740919546, 0.10719111847806295, 0.1321377653448696, 0.12747049156861645, 0.13965987956687723, 0.1494248845266183, 0.1022335158774965]","[0.06002297292793373, 0.10416483497388156, 0.1849010266164393, 0.2840446552553521, 0.6334715233683196, 1.005690244989214, 2.3619940059929516, 3.612891769661496]",0.00000000
G,100.00000000,group_lmmse,PSO_MC,100.00000000,8,8,0.25000000,1.00000000,1.00000000,99.80780000,10.21639352,83.00000000,100.00000000,116.00000000,0.99807800,0.99843507,99.99780000,0.00011414,0.99988586,1.00000000,"[0.00011413640292190497, 0.11997972921140786, 0.13628850687267924, 0.16645162032661265, 0.11582559049226751, 0.10102730844144517, 0.1250272519006781, 0.09680520651583124, 0.13848064983615638]","[0.11999342482929215, 0.1363040641282625, 0.16647062068444976, 0.11583881191757853, 0.1010388406512725, 0.125041523690408, 0.09681625677512391, 0.1384964573236127]","[0.0656429685233403, 0.14601563613677976, 0.22772485749031926, 0.4813337966300617, 0.6380311605197875, 1.1473023439262346, 1.925545575902422, 3.4969687972941004]",106.04888450
G,150.00000000,group_lmmse,single_power,150.00000000,8,8,0.25000000,1.00000000,1.00000000,29.91020000,5.53552167,21.00000000,30.00000000,39.00000000,0.19940133,0.99910000,29.95630000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
G,150.00000000,group_lmmse,structured_uniform_exp,150.00000000,8,8,0.25000000,1.00000000,1.00000000,119.06060000,12.26587840,101.00000000,119.00000000,137.00000000,0.79373733,0.99291361,120.01820000,0.20000000,0.80000000,1.00000000,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",0.00000000
